account_number,predicted_probability
100001,0.0
100002,0.0
100003,0.0
100004,0.0
100005,0.01
100006,0.12
100007,0.0
100008,0.01
100009,0.0
100010,0.01
100011,0.0
100012,0.04
100013,0.01
100014,0.0
100015,0.0
100016,0.0
100017,0.02
100018,0.07
100019,0.01
100020,0.01
100021,0.0
100022,0.0
100023,0.01
100024,0.06
100025,0.0
100026,0.0
100027,0.01
100028,0.0
100029,0.0
100030,0.03
100031,0.0
100032,0.0
100033,0.01
100034,0.0
100035,0.0
100036,0.0
100037,0.06
100038,0.0
100039,0.0
100040,0.0
100041,0.06
100042,0.0
100043,0.0
100044,0.03
100045,0.01
100046,0.0
100047,0.04
100048,0.0
100049,0.0
100050,0.04
100051,0.0
100052,0.01
100053,0.07
100054,0.0
100055,0.0
100056,0.01
100057,0.0
100058,0.0
100059,0.04
100060,0.0
100061,0.0
100062,0.0
100063,0.0
100064,0.06
100065,0.0
100066,0.01
100067,0.0
100068,0.0
100069,0.04
100070,0.01
100071,0.01
100072,0.0
100073,0.0
100074,0.01
100075,0.0
100076,0.61
100077,0.0
100078,0.0
100079,0.0
100080,0.0
100081,0.0
100082,0.0
100083,0.02
100084,0.0
100085,0.0
100086,0.0
100087,0.02
100088,0.0
100089,0.08
100090,0.0
100091,0.01
100092,0.01
100093,0.01
100094,0.0
100095,0.05
100096,0.0
100097,0.01
100098,0.0
100099,0.05
100100,0.02
100101,0.0
100102,0.0
100103,0.0
100104,0.01
100105,0.0
100106,0.0
100107,0.05
100108,0.0
100109,0.0
100110,0.0
100111,0.02
100112,0.0
100113,0.0
100114,0.01
100115,0.0
100116,0.0
100117,0.0
100118,0.0
100119,0.02
100120,0.0
100121,0.02
100122,0.0
100123,0.0
100124,0.0
100125,0.01
100126,0.0
100127,0.0
100128,0.04
100129,0.0
100130,0.03
100131,0.0
100132,0.0
100133,0.0
100134,0.0
100135,0.0
100136,0.02
100137,0.01
100138,0.01
100139,0.0
100140,0.0
100141,0.0
100142,0.06
100143,0.0
100144,0.03
100145,0.0
100146,0.01
100147,0.04
100148,0.0
100149,0.0
100150,0.03
100151,0.01
100152,0.0
100153,0.0
100154,0.0
100155,0.02
100156,0.0
100157,0.0
100158,0.0
100159,0.09
100160,0.0
100161,0.0
100162,0.0
100163,0.0
100164,0.0
100165,0.0
100166,0.0
100167,0.03
100168,0.0
100169,0.0
100170,0.07
100171,0.0
100172,0.0
100173,0.02
100174,0.05
100175,0.0
100176,0.0
100177,0.0
100178,0.0
100179,0.0
100180,0.0
100181,0.0
100182,0.01
100183,0.0
100184,0.02
100185,0.0
100186,0.0
100187,0.04
100188,0.06
100189,0.0
100190,0.01
100191,0.0
100192,0.0
100193,0.01
100194,0.0
100195,0.05
100196,0.01
100197,0.0
100198,0.03
100199,0.0
100200,0.01
100201,0.0
100202,0.03
100203,0.01
100204,0.01
100205,0.01
100206,0.0
100207,0.0
100208,0.0
100209,0.0
100210,0.09
100211,0.0
100212,0.0
100213,0.01
100214,0.0
100215,0.0
100216,0.03
100217,0.03
100218,0.01
100219,0.0
100220,0.0
100221,0.02
100222,0.0
100223,0.12
100224,0.0
100225,0.0
100226,0.0
100227,0.0
100228,0.02
100229,0.0
100230,0.0
100231,0.0
100232,0.01
100233,0.0
100234,0.0
100235,0.0
100236,0.0
100237,0.01
100238,0.01
100239,0.0
100240,0.05
100241,0.0
100242,0.0
100243,0.0
100244,0.0
100245,0.0
100246,0.06
100247,0.03
100248,0.0
100249,0.01
100250,0.0
100251,0.01
100252,0.01
100253,0.0
100254,0.0
100255,0.0
100256,0.0
100257,0.01
100258,0.0
100259,0.0
100260,0.01
100261,0.0
100262,0.04
100263,0.02
100264,0.0
100265,0.01
100266,0.02
100267,0.07
100268,0.0
100269,0.0
100270,0.0
100271,0.0
100272,0.0
100273,0.02
100274,0.0
100275,0.02
100276,0.14
100277,0.03
100278,0.03
100279,0.04
100280,0.03
100281,0.0
100282,0.0
100283,0.0
100284,0.04
100285,0.02
100286,0.0
100287,0.0
100288,0.01
100289,0.01
100290,0.01
100291,0.0
100292,0.0
100293,0.01
100294,0.0
100295,0.01
100296,0.12
100297,0.0
100298,0.06
100299,0.0
100300,0.0
100301,0.0
100302,0.02
100303,0.0
100304,0.0
100305,0.03
100306,0.0
100307,0.01
100308,0.01
100309,0.0
100310,0.08
100311,0.0
100312,0.02
100313,0.0
100314,0.0
100315,0.0
100316,0.0
100317,0.0
100318,0.08
100319,0.0
100320,0.01
100321,0.0
100322,0.0
100323,0.01
100324,0.0
100325,0.01
100326,0.01
100327,0.0
100328,0.0
100329,0.0
100330,0.0
100331,0.04
100332,0.0
100333,0.01
100334,0.0
100335,0.01
100336,0.02
100337,0.0
100338,0.02
100339,0.0
100340,0.01
100341,0.0
100342,0.0
100343,0.02
100344,0.0
100345,0.0
100346,0.0
100347,0.01
100348,0.01
100349,0.0
100350,0.01
100351,0.01
100352,0.06
100353,0.0
100354,0.0
100355,0.0
100356,0.0
100357,0.01
100358,0.0
100359,0.0
100360,0.0
100361,0.01
100362,0.0
100363,0.0
100364,0.0
100365,0.0
100366,0.0
100367,0.0
100368,0.0
100369,0.02
100370,0.0
100371,0.04
100372,0.02
100373,0.0
100374,0.0
100375,0.02
100376,0.0
100377,0.0
100378,0.03
100379,0.0
100380,0.01
100381,0.09
100382,0.0
100383,0.63
100384,0.01
100385,0.02
100386,0.02
100387,0.0
100388,0.06
100389,0.0
100390,0.02
100391,0.02
100392,0.03
100393,0.0
100394,0.0
100395,0.0
100396,0.02
100397,0.01
100398,0.0
100399,0.04
100400,0.0
100401,0.0
100402,0.0
100403,0.01
100404,0.0
100405,0.02
100406,0.01
100407,0.01
100408,0.04
100409,0.0
100410,0.01
100411,0.0
100412,0.0
100413,0.0
100414,0.0
100415,0.0
100416,0.0
100417,0.0
100418,0.01
100419,0.0
100420,0.02
100421,0.0
100422,0.0
100423,0.0
100424,0.02
100425,0.01
100426,0.01
100427,0.04
100428,0.0
100429,0.0
100430,0.0
100431,0.03
100432,0.0
100433,0.0
100434,0.04
100435,0.01
100436,0.04
100437,0.02
100438,0.0
100439,0.0
100440,0.09
100441,0.07
100442,0.0
100443,0.0
100444,0.0
100445,0.01
100446,0.0
100447,0.0
100448,0.0
100449,0.03
100450,0.0
100451,0.0
100452,0.0
100453,0.0
100454,0.0
100455,0.05
100456,0.02
100457,0.0
100458,0.0
100459,0.0
100460,0.0
100461,0.01
100462,0.0
100463,0.0
100464,0.06
100465,0.0
100466,0.02
100467,0.01
100468,0.06
100469,0.0
100470,0.08
100471,0.0
100472,0.03
100473,0.0
100474,0.01
100475,0.06
100476,0.0
100477,0.01
100478,0.0
100479,0.0
100480,0.0
100481,0.0
100482,0.0
100483,0.01
100484,0.03
100485,0.01
100486,0.01
100487,0.0
100488,0.0
100489,0.0
100490,0.08
100491,0.0
100492,0.0
100493,0.01
100494,0.0
100495,0.0
100496,0.0
100497,0.01
100498,0.0
100499,0.0
100500,0.03
100501,0.0
100502,0.02
100503,0.0
100504,0.01
100505,0.02
100506,0.02
100507,0.01
100508,0.0
100509,0.0
100510,0.05
100511,0.03
100512,0.01
100513,0.0
100514,0.0
100515,0.0
100516,0.0
100517,0.0
100518,0.01
100519,0.0
100520,0.0
100521,0.0
100522,0.0
100523,0.0
100524,0.0
100525,0.0
100526,0.09
100527,0.0
100528,0.0
100529,0.01
100530,0.03
100531,0.0
100532,0.0
100533,0.0
100534,0.0
100535,0.01
100536,0.01
100537,0.0
100538,0.01
100539,0.0
100540,0.01
100541,0.01
100542,0.01
100543,0.03
100544,0.0
100545,0.0
100546,0.0
100547,0.0
100548,0.0
100549,0.0
100550,0.0
100551,0.01
100552,0.0
100553,0.0
100554,0.0
100555,0.01
100556,0.0
100557,0.0
100558,0.05
100559,0.0
100560,0.01
100561,0.04
100562,0.01
100563,0.0
100564,0.0
100565,0.03
100566,0.04
100567,0.02
100568,0.0
100569,0.01
100570,0.0
100571,0.01
100572,0.02
100573,0.06
100574,0.0
100575,0.01
100576,0.01
100577,0.0
100578,0.01
100579,0.0
100580,0.0
100581,0.0
100582,0.0
100583,0.01
100584,0.0
100585,0.0
100586,0.0
100587,0.01
100588,0.04
100589,0.0
100590,0.05
100591,0.01
100592,0.02
100593,0.02
100594,0.0
100595,0.02
100596,0.02
100597,0.0
100598,0.03
100599,0.02
100600,0.0
100601,0.01
100602,0.0
100603,0.0
100604,0.0
100605,0.0
100606,0.0
100607,0.0
100608,0.01
100609,0.0
100610,0.0
100611,0.0
100612,0.03
100613,0.02
100614,0.0
100615,0.0
100616,0.0
100617,0.0
100618,0.01
100619,0.0
100620,0.0
100621,0.01
100622,0.0
100623,0.01
100624,0.0
100625,0.0
100626,0.0
100627,0.02
100628,0.0
100629,0.0
100630,0.0
100631,0.0
100632,0.0
100633,0.0
100634,0.02
100635,0.0
100636,0.0
100637,0.65
100638,0.03
100639,0.01
100640,0.0
100641,0.01
100642,0.0
100643,0.0
100644,0.0
100645,0.0
100646,0.0
100647,0.01
100648,0.01
100649,0.0
100650,0.0
100651,0.0
100652,0.02
100653,0.0
100654,0.01
100655,0.04
100656,0.0
100657,0.0
100658,0.01
100659,0.0
100660,0.03
100661,0.0
100662,0.0
100663,0.0
100664,0.06
100665,0.07
100666,0.0
100667,0.02
100668,0.03
100669,0.01
100670,0.0
100671,0.0
100672,0.0
100673,0.09
100674,0.01
100675,0.0
100676,0.0
100677,0.0
100678,0.01
100679,0.06
100680,0.01
100681,0.0
100682,0.0
100683,0.0
100684,0.0
100685,0.08
100686,0.0
100687,0.0
100688,0.0
100689,0.0
100690,0.01
100691,0.01
100692,0.02
100693,0.07
100694,0.0
100695,0.02
100696,0.0
100697,0.01
100698,0.0
100699,0.0
100700,0.0
